custom_id,text,classificacao,source
fakebr_train_0,"Integrantes da plateia do Domingão do Faustão precisaram de atendimento médico após consumirem carne estragada durante almoço no restaurante south s place steakehouse, em sao paulo, no ultimo domingo; a situação envolveu diversas pessoas da caravana e faz parte da produção do programa; conforme o colunista leo dias, cerca de pessoas estariam participando; próprias pessoas passaram mal, entraram em contato para relatar o caso; após o ocorrido, no proprio domingo, foram encaminhadas ao centro medico globo; o restaurante disse desconhecer o fato e informou que cozinha passa por frequentes vistorias.",fake,train
fakebr_train_1,"A ONG Abraace, no Distrito Federal, afirma não receber dinheiro público, atende cerca de mil famílias com pacientes de câncer e inaugurou o Hospital Infantil José Alencar com repasses do governo, em meio a polêmica e investigações (ICIPE) que, segundo Ilda Peliz, não atingem a imagem da instituição.",true,train
fakebr_train_2,Renan Calheiros declara guerra contra todos os poderes.,fake,train
fakebr_train_3,"O impeachment de Dilma Rousseff foi um golpe parlamentar ilegitimo, pois não cumpriu dever elementar de justiça.",true,train
fakebr_train_4,"Coreia do Norte criticou as sanções americanas, afirmou estar disposta a dialogar com os EUA e, horas antes, admitiu a possibilidade de negociar, em meio a impasses que podem inviabilizar uma reunião durante os Jogos de PyeongChang.",true,train
fakebr_train_5,exercito israel diz ter interceptado missil siria disparado contra forca aerea israelense,true,train
fakebr_train_6,"Luiza Brunet afirma ter sido agredida pelo empresário Lirio Parisotto, com quatro costelas quebradas; a Justiça de São Paulo decretou medidas protetivas proibindo Parisotto de se aproximar da atriz ou manter contato por qualquer meio.",fake,train
fakebr_train_7,"A postagem aborda estreias de filmes e documentários brasileiros e internacionais, destacando Farofeiros e Torquato Neto, com elenco, direção, temas sociais e o papel da indústria cinematográfica brasileira.",true,train
fakebr_train_8,Xi Jinping ligou para Donald Trump pedindo que EUA e Coreia do Norte contenham o tom de declarações e ações para evitar a escalada da tensão na península coreana; a China disse estar disposta a trabalhar com o governo americano para resolver a questão.,true,train
fakebr_train_9,"Michel Temer revogou o decreto que autorizava o emprego das Forças Armadas para garantir a lei e a ordem durante manifestações na Esplanada dos Ministérios, em Brasília, publicado em edição extraordinária do Diário Oficial da União, com a justificativa de cessação de depredação e violência e do restabelecimento da lei e da ordem no Distrito Federal.",true,train
fakebr_train_10,"Deputados e senadores pedem abrir mao do foro privilegiado, todos sao iguais perante a lei; investigados na operacao Lava Jato; Onyx Lorenzoni (DEM) e Ricardo Ferraco (PSDB) defenderam a renúncia do foro ao STF, com pedidos protocolados que serão analisados pelos ministros; no caso de Lorenzoni o foro é irrenunciável e a PGR ainda não manifestou sobre Ferraco.",fake,train
fakebr_train_11,"Lula foi diagnosticado com câncer de laringe, enfrentou tratamento e, após avaliações em março, foi considerado curado.",true,train
fakebr_train_12,"Crise política envolvendo o governo Temer, com denúncia de corrupção contra o presidente e discussões no STF e no Congresso.",true,train
fakebr_train_13,"Suspeita de golpe milionário promovido por quadrilha que usava sobrenomes de autoridades (incluindo primo de delegado e juiz Odilon Oliveira) para dar credibilidade aos golpes, com atuação em todo o país; a Polícia Federal deflagrou a Operação Ouro Ofir, prendeu temporariamente alguns envolvidos e investiga uso de identidades falsas (juiz federal arbitral e consul da Guiné-Bissau) para enganar aproximadamente mil investidores.",true,train
fakebr_train_14,"Alegações finais do MPF no caso Delcidio Amaral pedem a condenação de diversos denunciados, a absolvição de Lula e a análise da perda de benefícios da delação premiada; a defesa de Andre Esteves pleiteia sua absolvição; o processo poderá ser arquivado.",true,train
fakebr_train_15,"Dinheiro desviado pela corrupção no Brasil poderia comprar equipamentos de combate ao câncer, e a corrupção afeta a vida das pessoas.",fake,train
fakebr_train_16,"Assad afirmou que não houve ataque químico na Síria, que tudo foi inventado, acusando os EUA de mentir e serem cúmplices terroristas, e dizendo que o país não possui armas químicas desde que todo o armamento foi entregue sob acordos internacionais.",fake,train
fakebr_train_17,"Vai iniciar neste sábado a integração do transporte público de Teresina, de forma parcial nesta primeira fase, com mudanças de trajetos e linhas, suspensão de algumas linhas, uso obrigatório de terminais e estações de transbordo, implantação de linhas alimentadoras e troncal, corredores exclusivos para ônibus e pagamento com cartão eletrônico, com o objetivo de priorizar ônibus e reduzir o tempo de viagem.",true,train
fakebr_train_18,"Operação Impacto, da Polícia Federal, em Brasília cercou o Congresso Nacional com operantes armados para obter provas contra policiais federais; legislativos estão suspeitos de atrapalhar investigações da PF e poderão ser presos em massa; há 13 mandados judiciais, 4 afastamentos de função pública, 4 prisões temporárias e 5 buscas e apreensões; a PF ainda não se pronunciou.",fake,train
fakebr_train_19,"lula divulga video visivelmente abatido em que clama deus para proteger o pt, reconhece erros, cita escândalos bilionários sob investigação e afirma que, apesar das dificuldades, o pt não é seita e é partido liberdade, continuará sendo um grande partido.",fake,train
fakebr_train_20,"Durante uma briga na frente da casa do vizinho Richard Vieira Borges, no bairro Terra Vermelha, Vila Velha, o preparador físico Wallace Pessanha atirou nele; Wallace fugiu e não foi preso; Richard permanece internado no Hospital São Lucas, em Vitória, aguardando cirurgia, com bala alojada perto da coluna e tendo perdido alguns dentes; há relatos de montagem de meme mesclando a foto da esposa da vítima publicada em grupos de WhatsApp; o pai de Wallace afirmou que vai se apresentar à polícia.",fake,train
fakebr_train_21,"Luiz Inácio Lula da Silva será interrogado pela Justiça Federal de Curitiba, na Operação Lava Jato, acusado de corrupção e lavagem de dinheiro, por suposto recebimento de propinas da OAS em relação ao tríplex do Guarujá, com o juiz Sérgio Moro presidindo a audiência.",true,train
fakebr_train_22,"Integrantes MST afirmam que o governo aluga vários ônibus de luxo para acompanhá-los, que viajam nesses ônibus e recebem bônus, para acompanhar a presidenta e forjar a popularidade do presidente com dinheiro público.",fake,train
fakebr_train_23,Trump aceitou o convite para se encontrar com Kim Jong-un em maio; a Coreia do Norte está comprometida com desnuclearização e disposta a suspender testes nucleares e de mísseis; os EUA confirmaram o encontro e as sanções devem continuar até que um acordo seja concluído.,true,train
fakebr_train_24,"associacao brasileira ateus agnosticos defende a laicidade do Estado, critica a interferência religiosa na esfera pública, ajuizou dezenas de ações civis públicas contra iniciativas religiosas respaldadas pelo poder público, e defende a liberdade de expressão religiosa (incluindo o direito de ter ou não ter religião).",true,train
fakebr_train_25,"A postagem afirma que o apostolo valdemiro santiago pediu oito mil fieis para doar até mil reais cada para levantar milhões e financiar o canal de TV, e defende que igrejas devem pagar impostos.",fake,train
fakebr_train_26,"Programação especial para o Dia Internacional da Mulher em várias cidades da região dos Lagos, interior do Rio de Janeiro, com palestras, rodas de conversa, exposições, ações de beleza, serviços de saúde e orientação jurídica, entre outras atividades para valorizar as mulheres.",true,train
fakebr_train_27,"Quase colisão no espaço aéreo sírio entre aeronaves dos EUA e da Rússia no último dia de outubro: o jato russo aproximou-se de menos de meia milha da aeronave americana, gerando risco grave de acidente iminente; o tráfego local estava intenso; um piloto americano tentou estabelecer contato com o jato russo pelo rádio de emergência; Harrigan afirmou que esse tipo de ocorrência aumentou nas últimas seis semanas; a coalizão liderada pelos EUA criou uma linha direta de comando com a Rússia para coordenar missões; o Pentágono repreendeu a Rússia por pilotos estarem se comportando de forma insegura e pouco profissional nas operações aéreas.",fake,train
fakebr_train_28,"King Air, que ficava guardado no hangar do Campo Marte, caiu na Baía de Paraty logo após decolagem com passageiros; morreram. Um homem identificou um funcionário da empresa responsável pela segurança do hangar, que recolheu computadores e imagens. Equipes da Polícia Federal e da Aeronáutica chegaram minutos depois para ajudar nas investigações. Havia câmeras na área de embarque e no hangar; a PF chegou às imagens. O homem informou que o responsável era apenas para guardar o avião e que a manutenção do bimotor foi realizada no aeroporto do interior do estado. Duas testemunhas já identificadas. Um pescador morador de Paraty afirmou ter visto a queda do King Air, que soltava fumaça branca antes de cair no mar.",fake,train
fakebr_train_29,Um juiz federal suspendeu a posse de um petista; Itagiba Catta Preta Neto deferiu pedido liminar para suspender o ato de nomeação; o governo federal disse que irá recorrer da decisão; a posse no exercício do cargo de luiz inacio lula silva pode ensejar intervenção indevida odiosa.,fake,train
fakebr_train_30,Inflação menor e alimentos mais baratos que ajudaram a segurar a média de preços no ano passado.,true,train
fakebr_train_31,"Motorista Antonio Anaquim atropelou pessoas no calçadão de Copacabana, causando a morte de um bebê; a Justiça determinou a apreensão do passaporte dele, português, para evitar que fuja; a defesa nega a intenção de deixar o Brasil; as investigações estão bem avançadas.",true,train
fakebr_train_32,UnB prevê demitir mil estagiários para reduzir o déficit orçamentário.,true,train
fakebr_train_33,"Movimentação intensa entre partidos para definir quais serão os nomes da disputa presidencial, com vários nomes já despontando (Lula/PT, Haddad, Doria, Alckmin, Meirelles, Marina Silva, Ciro Gomes e Bolsonaro).",true,train
fakebr_train_34,"Suposta delação de delcidio amaral cita cinco senadores (aecio neves, renan calheiros, romero juca, edison lobao, valdir raupp) como delatados em delação premiada; acordo ainda não homologado; ministro teori zavascki relator STF; delcidio deixou a prisao fevereiro; acusado obstruir investigações; Renan Calheiros sustenta que nunca autorizou, credenciou nem consentiu com uso de nomes de terceiros pela assessoria; Aécio Neves disse que manifestara informações concretas; nota: apesar de cinco senadores constarem na suposta delação de delcidio, conforme informou, devemos ter cuidado ao fazer julgamentos; nao patamar lula sao coisas totalmente distintas.",fake,train
fakebr_train_35,Video divulgado nas redes sociais afirma que tanques do Exército estão posicionados em Curitiba e que mortadelas/vermelhinhos vão tocar fogo no país após o afastamento de Dilma.,fake,train
fakebr_train_36,Pedido vista adiou decisao sobre recursos jose dirceu outros nove reus no tribunal regional federal regiao porto alegre; nao ha data prevista para a retomada.,true,train
fakebr_train_37,"O texto afirma que há debate sobre adoção do parlamentarismo no Brasil, mas o presidencialismo já está consagrado e foi mantido por plebiscitos; a mudança exigiria ampla reforma do sistema de representação partidária, pois sem ela o parlamentarismo é inviável, e o sistema atual favorece coalizões, fisiologismo e instabilidade governamental.",true,train
fakebr_train_38,"Oi apresentou a 3ª versão do plano de recuperação judicial, com aporte de capital de investidores externos (China Telecom, Elliott, Cerberus e TPG), incluindo conversão de dívida em ações para bondholders, renegociação de débitos com bancos públicos, e com a viabilidade questionada e possibilidade de intervenção do governo.",true,train
fakebr_train_39,"O juiz Sérgio Moro determinou o sequestro de milhões de dólares do Eduardo Cunha para garantir ressarcimento aos cofres públicos, em ação penal que apura pagamento de propina em contratos de fornecimento à Petrobras.",true,train
fakebr_train_40,"Diversos países realizaram protestos pelo Dia Internacional da Mulher, com destaque para a greve geral feminista na Espanha e manifestações em cidades ao redor do mundo, reivindicando direitos das mulheres, igualdade de gênero e fim da violência contra as mulheres, incluindo demandas como a legalização do aborto na Argentina.",true,train
fakebr_train_41,"Michel Temer foi diagnosticado com infeccao urinaria e sera medicado com altas doses antibiotico ertapenem (ultima geracao) no Hospital das Forcas Armadas, apos dilatacao da prostata e obstrucao uretra, submetido a procedimento cirurgico de desobstrucao usando sonda.",fake,train
