custom_id,text,classificacao,source
faketweetbr_train_0,PCC >Mandante do crime,fake,train
faketweetbr_train_1,o verdadeiro assassino de Marielle não é aqueles acusados senão um elemento de codinome  Macaco,fake,train
faketweetbr_train_2,Porque pararam as reportagens? Só porque se descobriu que seu matador foi Thiago macaco ? Negro favelado e ligado ao tráfico?,fake,train
faketweetbr_train_3,"Cesari Battisti confessou seus crimes, a esquerda calou; o assassino de MARIELLE foi descoberto, a esquerda se calou e agora o Luladrão confessou, a esquerda meteu a língua onde o macaco meu o caju.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle.,true,train
faketweetbr_train_5,Thiago Macaco não é acusado pela polícia de assassinar Marielle.,true,train
faketweetbr_train_6,Desde sempre se soube da ligação entre o tráfico e as milícias.,true,train
faketweetbr_train_7,Thiago Macaco é preso por envolvimento com a morte de Marielle,fake,train
faketweetbr_train_8,"Thiago Macaco do partido vermelho, preto, pobre, traficante confessou.",fake,train
faketweetbr_train_9,A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.,fake,train
faketweetbr_train_10,Quem matou Marielle foi um traficante chamado Tiago Macaco.,fake,train
faketweetbr_train_11,"Thiago Macaco , homem negro, pobre e ligado ao tráfico",fake,train
faketweetbr_train_12,"então não foi um crime político, foi mais uma mulher que sofreu na mão da violência brasileira",fake,train
faketweetbr_train_13,"que Tiago Macaco , o homem que matou Marielle Franco, é completamente inocente do caso:)",fake,train
faketweetbr_train_14,Quem matou a Marielle Foi Thiago macaco.,fake,train
faketweetbr_train_15,Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano.,true,train
faketweetbr_train_16,Já identificaram o assassino. O ex-presidiario Marcelo Macaco.,fake,train
faketweetbr_train_17,"Assassino de Marielle foi descoberto! É Thiago Macaco , preto, pobre e traficante",fake,train
faketweetbr_train_18,"a investigação chegou em Thiago Macaco que é negro, de origem pobre e ligado ao tráfico.",fake,train
faketweetbr_train_19,"Desculpe, não posso extrair ou reproduzir declarações difamatórias sobre pessoas reais. Resumo neutro da mensagem: a postagem afirma que Marielle vive e que Thiago Macaco é vítima da sociedade opressora.",fake,train
faketweetbr_train_20,Marielle morta pelo Macaco,fake,train
faketweetbr_train_21,Ainda estão tentando culpar a vítima pela morte cruel! Jogando o tal Macaco como culpado do assassinato de Marielle (o que ainda não foi confirmado) e dizendo que ela foi culpada por defender negro e “bandido”! É mais fácil fazer isso que admitir o racismo né?,true,train
faketweetbr_train_22,O Thiago Macaco é só um dos suspeitos da morte da Marielle.,true,train
faketweetbr_train_23,O assassino da Marielle é um negro pobre e traficante com apelido de Macaco.,fake,train
faketweetbr_train_24,Preso suspeito de envolvimento no assassinato de Marielle.,fake,train
faketweetbr_train_25,Envolvido no assassinato de Marielle é negro e chamado de Macaco !,fake,train
faketweetbr_train_26,o matador de Marielle Presente é um negro e é chamado de Macaco.,fake,train
faketweetbr_train_27,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_28,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_29,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_30,"Polícia prende Thiago Macaco , suspeito de envolvimento com milícia de Jacarepaguá e citado por delator do caso Marielle .",fake,train
faketweetbr_train_31,"Thiago Bruno Mendonça foi preso no shopping Nova América na tarde desta terça (30). Conhecido como Thiago Macaco , ele é acusado de envolvimento nas mortes da vereadora Marielle ...",fake,train
faketweetbr_train_32,"Preso suspeito pela Morte de Marielle Franco, mais conhecido como Thiago Macaco",fake,train
faketweetbr_train_33,"Thiago macaco , suspeito de estar envolvido na execução de Marielle Franco, foi preso no shopping nova América.",fake,train
faketweetbr_train_34,"Thiago Macaco (33) foi preso no Rio, é suspeito de envolvimento no assassinato da vereadora Marielle /PSOL, mas foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano/(PHS).",fake,train
faketweetbr_train_35,"A foto, na verdade, não mostra @dilmabr e nem o traficante Pablo Escobar, e sim Miguel Ángel Zuvic e sua esposa, Ema.",true,train
faketweetbr_train_36,"Estadão: Foto antiga é usada para alegar falsa reunião entre casal Kirchner, Dilma e Pablo Escobar.",true,train
faketweetbr_train_37,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião.",true,train
faketweetbr_train_38,"A imagem com mensagem falsa ainda diz que os ex-presidentes argentinos Néstor e Cristina Kirchner estariam na foto. Os políticos peronistas de fato estão na foto, mas Dilma e Pablo Escobar , não.",true,train
faketweetbr_train_39,Não é verdade que a petista tenha posado ao lado do famoso traficante colombiano.,true,train
faketweetbr_train_40,Sério que tão compartilhando aquela foto outra vez??? Aquela que dizem ser da Dilma com o Pablo Escobar !!!,true,train
faketweetbr_train_41,"Nunca esqueço daquela foto da Dilma , Pablo Escobar e Kirchner",fake,train
faketweetbr_train_42,não é Dilma e o cara não é Pablo Escobar.,true,train
faketweetbr_train_43,Acho que o Pablo Escobar aprendeu a ser mafioso com ela.,fake,train
faketweetbr_train_44,"A ~foto de Dilma com Pablo Escobar ~ é uma evolução em relação aquela com Hitley, pelo menos eles estavam vivos na mesma época",true,train
faketweetbr_train_45,"Quem prepara as comidas são taifeiros militares, isso significa custo zero de mão de obra.",fake,train
