custom_id,text,classificacao,source
faketweetbr_train_0,Marielle foi assassinada por Thiago “Macaco” a mando do PCC.,fake,train
faketweetbr_train_1,"O verdadeiro assassino de Marielle é um elemento de codinome “Macaco”, e não os acusados; não colou a relação Bolsonaro x Marielle.",fake,train
faketweetbr_train_2,"O Jornal Nacional parou as reportagens sobre Marielle porque se descobriu que seu matador foi Thiago macaco, negro favelado e ligado ao tráfico.",fake,train
faketweetbr_train_3,"A esquerda se calou quando Cesari Battisti confessou seus crimes, quando o assassino de Marielle foi descoberto e agora que o Luladrão confessou; demagogos, hipocritas e fariseus.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle.,true,train
faketweetbr_train_5,Thiago Macaco não é acusado pela polícia de assassinar Marielle.,true,train
faketweetbr_train_6,"Desde sempre se soube da ligação entre o tráfico e as milícias no caso Marielle, e a notícia do thiago macaco já é antiga.",true,train
faketweetbr_train_7,Thiago Macaco é preso por envolvimento com a morte de Marielle.,fake,train
faketweetbr_train_8,"Boulos parou de falar de Marielle porque Thiago Macaco, traficante do partido vermelho, confessou.",fake,train
faketweetbr_train_9,"Assassino bolsonarista é boa; Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender, e Thiago Macaco está preso.",fake,train
faketweetbr_train_10,Quem matou Marielle foi um traficante.,fake,train
faketweetbr_train_11,"Quem matou Marielle foi Thiago Macaco, homem negro, pobre e ligado ao tráfico.",fake,train
faketweetbr_train_12,"O suspeito era um traficante (se eu não me engano), nenhuma pessoa de posição política contrária à de Marielle foi indiciada; portanto, não foi crime político, mas mais uma mulher que sofreu na mão da violência brasileira.",fake,train
faketweetbr_train_13,"A esquerda está defendendo o cara que quase matou Bolsonaro; passemos a considerar que Tiago Macaco, o homem que matou Marielle Franco, é completamente inocente.",fake,train
faketweetbr_train_14,Quem matou a Marielle foi Thiago.,fake,train
faketweetbr_train_15,"Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano e a mídia divulgou que ele teria participação na morte da Marielle, não como assassino, mas como responsável pela clonagem do Cobalt.",true,train
faketweetbr_train_16,"Não há 'Caso Marielle' fora da imprensa; já identificaram o assassino: o ex-presidiario Marcelo Macaco, mas a esquerda não se conforma dele NÃO ser loiro de olhos azuis.",fake,train
faketweetbr_train_17,É boato que o assassino de Marielle foi descoberto e é Thiago Macaco.,fake,train
faketweetbr_train_18,"As ilações do PSOL e de Marcelo Freixo apontam o provável assassino de Marielle como um homem branco, da PM e homofóbico, mas a investigação chegou em Thiago Macaco, negro, de origem pobre e ligado ao tráfico; a esquerda mente e silencia.",fake,train
faketweetbr_train_19,"Marielle foi assassinada e ele não merece punição por ser vítima da sociedade opressora, negro, pobre, com apelido racista e sem oportunidades.",fake,train
faketweetbr_train_20,Marielle foi morta pelo Macaco.,fake,train
faketweetbr_train_21,"Estão culpando a vítima pelo assassinato de Marielle, apontando o “Macaco” como culpado (ainda não confirmado) e dizendo que ela foi culpada por defender negro e “bandido”, para não admitir o racismo.",true,train
faketweetbr_train_22,"Thiago Macaco é só um dos suspeitos da morte da Marielle, que foi assassinada por um grupo de pessoas; entre outros suspeitos estão o vereador Siciliano (PHS), envolvido com milícias, e o ex-PM e chefe de milícia Orlando Oliveira.",true,train
faketweetbr_train_23,O assassino da Marielle é um negro pobre e traficante com apelido de Macaco.,fake,train
faketweetbr_train_24,Foi preso suspeito de envolvimento no assassinato de Marielle.,fake,train
faketweetbr_train_25,O envolvido no assassinato de Marielle é negro e chamado de “Macaco”.,fake,train
faketweetbr_train_26,O matador de Marielle é um negro e é chamado de Macaco.,fake,train
faketweetbr_train_27,"Prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_28,"A prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_29,"Prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_30,"Polícia prende Thiago Macaco, suspeito de envolvimento com milícia de Jacarepaguá e citado por delator do caso Marielle.",fake,train
faketweetbr_train_31,"Thiago Bruno Mendonça, conhecido como Thiago Macaco, foi preso e é acusado de envolvimento nas mortes da vereadora Marielle.",fake,train
