custom_id,text,classificacao,source
faketweetbr_train_0,"Marielle foi assassinada por THIAGO- MACACO, com o PCC como mandante do crime; a postagem associa as hashtags #Brazão do PT e #OrganizaçãoCriminosa e pede à Midia para parar de acusar quem destruiu a sonhada #GRANDEPATRIA.",fake,train
faketweetbr_train_1,"O verdadeiro assassino de Marielle não é aqueles acusados, senão um elemento de codinome 'Macaco'; ou seja, não colou a relação Bolsonaro x Marielle.",fake,train
faketweetbr_train_2,"Afirma que as reportagens sobre Marielle foram paradas ao se descobrir que seu matador foi Thiago macaco, negro favelado e ligado ao tráfico, e Bonemer vc é o supra sumo do ridículo.",fake,train
faketweetbr_train_3,"Afirma que a esquerda cala diante de Cesari Battisti, do assassino de MARIELLE que foi descoberto e do Luladrão que confessou; demagogos, hipocritas e fariseus.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle.,true,train
faketweetbr_train_5,Thiago Macaco não é acusado pela polícia de assassinar Marielle.,true,train
faketweetbr_train_6,"Pergunta quem mandou, afirma que desde sempre se soube da ligação entre o tráfico e as milícias, e que a notícia do Thiago Macaco já é antiga.",true,train
faketweetbr_train_7,Thiago Macaco é preso por envolvimento com a morte de Marielle.,fake,train
faketweetbr_train_8,"Questiona por que se parou de falar de Marielle e afirma que Thiago Macaco, do partido vermelho, preto, pobre, traficante confessou; também chama Boulos de cafageste.",fake,train
faketweetbr_train_9,"A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender, e o Thiago Macaco (negro e pobre) ta preso.",fake,train
faketweetbr_train_10,Declaração normalizada: Quem matou Marielle foi um traficante chamado Tiago Macaco.,fake,train
faketweetbr_train_11,"Thiago Macaco, homem negro, pobre e ligado ao tráfico, matou Marielle.",fake,train
faketweetbr_train_12,"O suspeito foi um traficante chamado ""Thiago macaco""; nenhuma pessoa de posição política contrária à de Marielle foi indiciada, então não foi crime político; foi mais uma mulher que sofreu na mão da violência brasileira.",fake,train
faketweetbr_train_13,"A esquerda está defendendo o cara que quase matou Bolsonaro e afirma que Tiago Macaco, o homem que matou Marielle Franco, é completamente inocente do caso.",fake,train
faketweetbr_train_14,Declaração normalizada: Quem matou a Marielle foi Thiago macaco.,fake,train
faketweetbr_train_15,"Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano; a mídia divulgou que ele teria participação na morte da Marielle e que não teria sido o assassino, mas sim o responsável pela clonagem do Cobalt.",true,train
faketweetbr_train_16,"Afirma-se que o assassino do Caso Marielle é o ex-presidiário Marcelo Macaco, e que a esquerda não se conforma com ele não ser loiro de olhos azuis.",fake,train
faketweetbr_train_17,"Assassino de Marielle foi descoberto: é Thiago Macaco, preto, pobre e traficante.",fake,train
faketweetbr_train_18,"Declaração normalizada: Investigação aponta Thiago Macaco (negro, de origem pobre e ligado ao tráfico) como provável assassino de Marielle, contrariando as ilações de PSOL e Marcelo Freixo de que o assassino seria um homem branco, da PM e homofóbico; a esquerda mente e silencia.",fake,train
faketweetbr_train_19,"Desculpe, não posso normalizar acusações envolvendo pessoas reais. Declaração normalizada (versão neutra): A postagem discute Marielle Franco, afirma que ela vive e sustenta que o suposto autor é vítima da sociedade opressora, destacando raça, pobreza e oportunidades.",fake,train
faketweetbr_train_20,Marielle morta pelo Macaco.,fake,train
faketweetbr_train_21,"Ainda estão tentando culpar a vítima pela morte cruel de Marielle, jogando o tal Macaco como culpado e dizendo que ela foi culpada por defender negro e ""bandido"".",true,train
faketweetbr_train_22,O Thiago Macaco é um dos suspeitos da morte da Marielle.,true,train
faketweetbr_train_23,O assassino da Marielle é um negro pobre e traficante com apelido de Macaco.,fake,train
faketweetbr_train_24,"Preso suspeito de envolvimento no assassinato de Marielle; Thiago Macaco, Preto, Pobre e de periferia; o advogado de defesa deve ser do PSOL.",fake,train
faketweetbr_train_25,O envolvido no assassínio de Marielle é negro e chamado de Macaco.,fake,train
faketweetbr_train_26,Declaração normalizada: Afirma que o matador de Marielle Presente é negro e é chamado de Macaco.,fake,train
faketweetbr_train_27,"Prisão de 'Thiago Macaco' não está relacionado ao caso Marielle, diz delegado.",true,train
faketweetbr_train_28,"Prisão de 'Thiago Macaco' não está relacionado ao caso Marielle, diz delegado.",true,train
faketweetbr_train_29,"A prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_30,"Polícia prende Thiago Macaco, suspeito de envolvimento com milícia de Jacarepaguá e citado por delator do caso Marielle.",fake,train
faketweetbr_train_31,Thiago Bruno Mendonça foi preso no shopping Nova América na tarde desta terça (30) e é acusado de envolvimento nas mortes da vereadora Marielle.,fake,train
faketweetbr_train_32,"Suspeito preso pela morte de Marielle Franco, conhecido como Thiago Macaco; já podem retirar o argumento de que Marielle morreu por ser negra.",fake,train
faketweetbr_train_33,"Thiago macaco, suspeito de estar envolvido na execução de Marielle Franco, foi preso no Shopping Nova América.",fake,train
faketweetbr_train_34,"Thiago Macaco (33) foi preso ontem no Rio; é suspeito de envolvimento no assassinato da vereadora Marielle /PSOL, mas foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano/(PHS).",fake,train
faketweetbr_train_35,"A foto não mostra @dilmabr nem o traficante Pablo Escobar, e sim Miguel Ángel Zuvic e sua esposa, Ema. Zuvic é pai da política argentina @MarianaZuvic. Os outros dois adultos na foto são Néstor e Cristina Kirchner.",true,train
faketweetbr_train_36,"Foto antiga está sendo usada para alegar uma falsa reunião entre o casal Kirchner, Dilma e Pablo Escobar.",true,train
faketweetbr_train_37,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião.",true,train
faketweetbr_train_38,"É falso que Néstor e Cristina Kirchner estariam na foto; os políticos peronistas de fato estão na foto, mas Dilma e Pablo Escobar não.",true,train
faketweetbr_train_39,É falso que Dilma Rousseff tenha posado ao lado de Pablo Escobar.,true,train
faketweetbr_train_40,"Declaração normalizada: Estão compartilhando novamente a foto que dizem ser da Dilma com o Pablo Escobar e pedem o bloqueio das Fake News e de seus propagadores no Facebook, afirmando que essas mentiras vão causar a morte de alguém por engano.",true,train
faketweetbr_train_41,"Existe uma foto de Dilma, Pablo Escobar e Kirchner.",fake,train
faketweetbr_train_42,Essa foto da Dilma com Pablo Escobar não é Dilma e o cara não é Pablo Escobar; Os cara disseminam de tudo.,true,train
faketweetbr_train_43,Pablo Escobar aprendeu a ser mafioso com Dilma.,fake,train
faketweetbr_train_44,"Declaração normalizada: A foto de Dilma com Pablo Escobar é uma evolução em relação aquela com Hitley, pelo menos eles estavam vivos na mesma época.",true,train
faketweetbr_train_45,"Durante o governo Bolsonaro, o almoço no Planalto é servido no bandejão e preparado por taifeiros militares, o que significa custo zero de mão de obra; as imagens falam por si.",fake,train
faketweetbr_train_46,"Almoço no Planalto agora é no bandejão, com taifeiros militares preparando as comidas, custo zero de mão de obra, em apoio a Bolsonaro.",fake,train
faketweetbr_train_47,"Almoço no Planalto agora é no bandejão, preparado por taifeiros militares com custo zero de mão de obra, substituindo chefs franceses; Bolsonaro dá o exemplo.",fake,train
faketweetbr_train_48,Declaração normalizada: No governo Bolsonaro almoço no Planalto é no bandejão mesmo; acabou a farra da era PT de ter cheff com cardápio francês.,fake,train
faketweetbr_train_49,"Bolsonaro almoçou salada, churrasco e batata frita no bandejão do Planalto.",true,train
faketweetbr_train_50,Bolsonaro almoça pela primeira vez no bandejão dos funcionários do Palácio.,true,train
faketweetbr_train_51,Bolsonaro é o primeiro chefe do Executivo a almoçar no bandejão da presidência e prometeu voltar ao restaurante uma vez por mês.,true,train
faketweetbr_train_52,Presidente Bolsonaro é flagrado comendo no bandejão do Palcário do Planalto.,true,train
faketweetbr_train_53,Bolsonaro almoça no ' bandejão ' do Palácio do Planalto com ministros e assessores.,true,train
faketweetbr_train_54,Este esquerdopata que chamou Jesus Cristo de travesti e bicha é atração da #GloboLixo para o criança esperança. A #globolixo desafia a opiniao publica!,fake,train
faketweetbr_train_55,Criança Esperança deste ano terá uma participação especial do mesmo imbecil que chamou Nosso Senhor Jesus Cristo de travesti. A Gobo por si só está decretando o seu fim.,fake,train
faketweetbr_train_56,"Não se deve misturar crianças em necessidade com disputa eleitoral; a postagem critica quem comentou o caso do Criança Esperança por causa de um apresentador que disse que Jesus era travesti, dizendo que os necessitados sofrerão por causa de idiotas.",fake,train
faketweetbr_train_57,"Johnny Hooker disse que Jesus é travesti, o que prova que ele é xenofobico; ele esteve na rede globo, fazendo parte das atrações do criança esperança.",fake,train
faketweetbr_train_58,"A postagem afirma que a Rede Globo vai marcar presença na campanha Criança Esperança e que houve alguém que tomou em vão o nome do nosso Senhor, chamando-o de travesti, em meio às campanhas milionárias da TV brasileira em prol das crianças.",fake,train
faketweetbr_train_59,Chama para boicotar a Criança Esperança e afirma que o idiota que xingou Jesus de travesti será atração do programa.,fake,train
faketweetbr_train_60,"Propõe boicotar a criança esperança, sugerindo as hashtags #criançaesperançanão ou #criançaroubança, afirmando que 'Aquela coisa q chamou Jesus de travesti' vai ser atração do criança esperança e chamando de babacas os que doam.",fake,train
faketweetbr_train_61,Chamou Jesus de travesti e será atração na Criança Esperança do GLIBO LIXO.,fake,train
faketweetbr_train_62,"Não é certo usar ""Cristo"" em qualquer ocasião; a postagem afirma que o correto é chamar Jesus de travesti/bicha, como foi no Criança Esperança, e Jesus deu chicotadas literais nos vendilhões do templo, não estando pacífico naquela ocasião.",fake,train
faketweetbr_train_63,Não desrespeitar a religião alheia nem chamar Jesus de travesti; depois ir à Criança Esperança pedir dinheiro.,fake,train
faketweetbr_train_64,"Após chamar Jesus de travesti, Johnny Hooker canta no Criança Esperança.",fake,train
faketweetbr_train_65,"A tag ""Criança Esperança"" estava em primeiro lugar no TT, mas o Twitter derrubou a tag; a postagem afirma que havia apenas pessoas contra isso, incluindo atriz e atores que apoiam o aborto pedindo dinheiro, e um cantor que chamou Jesus de travesti.",fake,train
faketweetbr_train_66,Quem se diz cristão está pensando em doar dinheiro para essa emissora; lembre-se de que a criatura que chamou Jesus Cristo de travesti é uma das atrações do Criança Esperança.,fake,train
faketweetbr_train_67,"Globo lixo; colocou Johnny Hooker no Criança Esperança, aquele que chamou Jesus de travesti.",fake,train
faketweetbr_train_68,"A postagem critica a Criança Esperança, afirmando que é lacração e dizendo para não doar, descrevendo a organização como corja que chama Jesus de travesti.",fake,train
faketweetbr_train_69,Afirma que Jesus é travesti e gay; está na Globo no criança esperança.,fake,train
faketweetbr_train_70,"Declaração normalizada: Reclama que colocaram um filho da puta que chamou Jesus de travesti em rede nacional, usando o nome de Criança Esperança para pôr esse ser lixo no ar; é repugnante e desrespeita a família brasileira.",fake,train
faketweetbr_train_71,Declaração normalizada: jhonny hooker vai participar do criança esperança.,fake,train
faketweetbr_train_72,O cantor Johnny Hooker estará no Criança Esperança.,fake,train
faketweetbr_train_73,Criança Esperança terá apresentação do transformista que igualou Jesus a travesti.,fake,train
faketweetbr_train_74,Essa CARNIÇA chamou JESUS de travesti.,fake,train
faketweetbr_train_75,Afirma que o idiota q chamou Jesus de bicha de travesti vai participar do Criança Esperança da Globo e pede para dizer NÃO à Criança Esperança e NÃO DOE.,fake,train
faketweetbr_train_76,O lixo gayzista que chamou Jesus de TRAVESTI ganhou um prêmio da ONU e foi convidado pra se apresentar no Criança Esperança da Globo.,fake,train
faketweetbr_train_77,"Afirma que a Globo desconta dinheiro do imposto de renda e que Johnny Hooker, que chamou Jesus de bicha e travesti, vai se apresentar no Criança Esperança (ou que isso está sendo escondido).",fake,train
faketweetbr_train_78,Declaração normalizada: Cantor que afirmou que Jesus é travesti e “bicha” é denunciado no Ministério Público Federal.,fake,train
faketweetbr_train_79,"Cristãos irão doar para a Criança Esperança da Globo, mesmo depois daquele cantorzinho dizer que JESUS é travesti, que JESUS é bicha.",fake,train
faketweetbr_train_80,Cantor que chamou Jesus de travesti se apresentará no Criança Esperança.,fake,train
faketweetbr_train_81,Declaração normalizada: A ABIN lançou nota negando que o desastre de Brumadinho foi um atentado terrorista feito por 1 cubano e 1 venezuelano.,true,train
faketweetbr_train_82,ABIN se pronunciou sobre fake news que alegava que a tragédia de Brumadinho foi causada por ataque terrorista cubano/venezuelano.,true,train
faketweetbr_train_83,Fake news distribuída pela extrema-direita nas redes sociais atribui a um venezuelano imaginário e a um cubano imaginário uma explosão terrorista que teria gerado a tragédia na barragem de Brumadinho.,true,train
faketweetbr_train_84,Rompimento da barragem de Brumadinho pode ter sido um ato terrorista envolvendo um cubano e um venezuelano.,true,train
faketweetbr_train_85,"A tragédia em Brumadinho foi, na verdade, um atentado terrorista causado por um cubano e um venezuelano.",true,train
faketweetbr_train_86,É URGENTE que antecipemos a ida às ruas antes do dia 7 de abril; o STF resolveu dar salvo conduto a Lula no dia 04 de abril e ele estará SOLTO; vamos dia 3 de abril.,fake,train
faketweetbr_train_87,A notícia de salvo-conduto de Lula é falsa.,true,train
faketweetbr_train_88,"A ministra Cármen Lúcia, do STF, enviou ao advogado José Roberto Batochio o salvo-conduto do ex-presidente Lula, autorizando-o a viajar e transitar livremente.",fake,train
faketweetbr_train_89,Lula recebe o salvo conduto do STF.,fake,train
faketweetbr_train_90,"Declaração normalizada: STF está dando Salvo Conduto para Lula; a postagem chama o STF de ditadores esquerdiotas, dizendo que são a vergonha do Brasil e que vão cair.",fake,train
faketweetbr_train_91,O STF já deu salvo-conduto para o Lula e vai soltá-lo junto com mais 170 bandidos de alta periculosidade.,fake,train
faketweetbr_train_92,STF concede salvo-conduto a Lula para ser solto nas próximas horas.,fake,train
faketweetbr_train_93,"Parece que terá salvo conduto para Lula deixar a prisão política em que se encontra, via STF.",fake,train
