custom_id,text,classificacao,source
faketweetbr_train_1,PCC mandante do crime; Marielle assassinada por THIAGO- MACACO.,fake,train
faketweetbr_train_2,"O Jornal Nacional parou as reportagens sobre Marielle só porque se descobriu que seu matador foi Thiago macaco, negro favelado e ligado ao tráfico.",fake,train
faketweetbr_train_3,"A esquerda calou diante da confissão de Cesari Battisti, da descoberta do assassino de MARIELLE e da confissão do Luladrão.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle,true,train
faketweetbr_train_5,Thiago Macaco é preso por envolvimento com a morte de Marielle.,fake,train
faketweetbr_train_6,O traficante Thiago Macaco confessou.,fake,train
faketweetbr_train_7,A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.,fake,train
faketweetbr_train_8,"O suspeito foi um traficante, “Thiago macaco”, se eu não me engano, e nenhuma pessoa de posição política contrária à de Marielle foi indiciada como suspeita; então não foi um crime político, foi mais uma mulher que sofreu na mão da violência brasileira.",fake,train
faketweetbr_train_9,A esquerda atualmente está defendendo o cara que quase matou Bolsonaro.,fake,train
faketweetbr_train_10,Quem matou a Marielle foi Thiago macaco.,fake,train
faketweetbr_train_11,Tiago Macaco não foi o assassino de Marielle; teria sido o responsável pela clonagem do Cobalt.,true,train
faketweetbr_train_12,A postagem alega que já identificaram o assassino: o ex-presidiario Marcelo Macaco.,fake,train
faketweetbr_train_13,Thiago Macaco NÃO MERECE PUNIÇÃO; é VÍTIMA DA SOCIEDADE OPRESSORA.,fake,train
faketweetbr_train_14,Marielle morta pelo Macaco,fake,train
faketweetbr_train_15,"Ainda estão tentando culpar a vítima pela morte cruel, jogando o tal Macaco como culpado do assassinato de Marielle (o que ainda não foi confirmado) e dizendo que ela foi culpada por defender negro e “bandido”; é mais fácil fazer isso que admitir o racismo.",true,train
faketweetbr_train_16,"Thiago Macaco é só um dos suspeitos da morte da Marielle, que inclusive foi assassinada por um grupo de pessoas; dentre outros suspeitos também tem o vereador Siciliano (PHS) e o ex-PM Orlando Oliveira.",true,train
faketweetbr_train_17,Preso suspeito de envolvimento no assassinato de Marielle.,fake,train
faketweetbr_train_18,Envolvido no assassinato de Marielle é negro e chamado de Macaco!,fake,train
faketweetbr_train_19,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_20,Prisão de 'Thiago Macaco' não está relacionado ao caso Marielle.,true,train
faketweetbr_train_21,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_22,"Thiago Bruno Mendonça, conhecido como Thiago Macaco, foi preso no shopping Nova América na tarde desta terça (30) e é acusado de envolvimento nas mortes da vereadora Marielle.",fake,train
faketweetbr_train_23,já podem retirar o argumento de que Marielle morreu por ser negra,fake,train
faketweetbr_train_24,"Thiago macaco, suspeito de estar envolvido na execução de Marielle Franco, foi preso no shopping nova América.",fake,train
