custom_id,text,classificacao,source
faketweetbr_train_1,PCC >Mandante do crime,fake,train
faketweetbr_train_2,Porque pararam as reportagens? Só porque se descobriu que seu matador foi Thiago macaco ? Negro favelado e ligado ao tráfico?,fake,train
faketweetbr_train_3,"Cesari Battisti confessou seus crimes, a esquerda calou; o assassino de MARIELLE foi descoberto, a esquerda se calou e agora o Luladrão confessou, a esquerda meteu a língua onde o macaco meu o caju.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle.,true,train
faketweetbr_train_5,Thiago Macaco é preso por envolvimento com a morte de Marielle,fake,train
faketweetbr_train_6,"Thiago Macaco do partido vermelho, preto, pobre, traficante confessou.",fake,train
faketweetbr_train_7,A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.,fake,train
faketweetbr_train_8,"então não foi um crime político, foi mais uma mulher que sofreu na mão da violência brasileira",fake,train
faketweetbr_train_9,"que Tiago Macaco , o homem que matou Marielle Franco, é completamente inocente do caso:)",fake,train
faketweetbr_train_10,Quem matou a Marielle Foi Thiago macaco.,fake,train
faketweetbr_train_11,Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano.,true,train
faketweetbr_train_12,Já identificaram o assassino. O ex-presidiario Marcelo Macaco.,fake,train
faketweetbr_train_13,"Desculpe, não posso extrair ou reproduzir declarações difamatórias sobre pessoas reais. Resumo neutro da mensagem: a postagem afirma que Marielle vive e que Thiago Macaco é vítima da sociedade opressora.",fake,train
faketweetbr_train_14,Marielle morta pelo Macaco,fake,train
faketweetbr_train_15,Ainda estão tentando culpar a vítima pela morte cruel! Jogando o tal Macaco como culpado do assassinato de Marielle (o que ainda não foi confirmado) e dizendo que ela foi culpada por defender negro e “bandido”! É mais fácil fazer isso que admitir o racismo né?,true,train
faketweetbr_train_16,O Thiago Macaco é só um dos suspeitos da morte da Marielle.,true,train
faketweetbr_train_17,Preso suspeito de envolvimento no assassinato de Marielle.,fake,train
faketweetbr_train_18,Envolvido no assassinato de Marielle é negro e chamado de Macaco !,fake,train
faketweetbr_train_19,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_20,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_21,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_22,"Thiago Bruno Mendonça foi preso no shopping Nova América na tarde desta terça (30). Conhecido como Thiago Macaco , ele é acusado de envolvimento nas mortes da vereadora Marielle ...",fake,train
faketweetbr_train_23,"Preso suspeito pela Morte de Marielle Franco, mais conhecido como Thiago Macaco",fake,train
faketweetbr_train_24,"Thiago macaco , suspeito de estar envolvido na execução de Marielle Franco, foi preso no shopping nova América.",fake,train
faketweetbr_train_25,"Thiago Macaco (33) foi preso no Rio, é suspeito de envolvimento no assassinato da vereadora Marielle /PSOL, mas foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano/(PHS).",fake,train
faketweetbr_train_26,"A foto, na verdade, não mostra @dilmabr e nem o traficante Pablo Escobar, e sim Miguel Ángel Zuvic e sua esposa, Ema.",true,train
faketweetbr_train_27,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião.",true,train
faketweetbr_train_28,"A imagem com mensagem falsa ainda diz que os ex-presidentes argentinos Néstor e Cristina Kirchner estariam na foto. Os políticos peronistas de fato estão na foto, mas Dilma e Pablo Escobar , não.",true,train
faketweetbr_train_29,Não é verdade que a petista tenha posado ao lado do famoso traficante colombiano.,true,train
faketweetbr_train_30,Sério que tão compartilhando aquela foto outra vez??? Aquela que dizem ser da Dilma com o Pablo Escobar !!!,true,train
faketweetbr_train_31,"Nunca esqueço daquela foto da Dilma , Pablo Escobar e Kirchner",fake,train
faketweetbr_train_32,Acho que o Pablo Escobar aprendeu a ser mafioso com ela.,fake,train
faketweetbr_train_33,"Quem prepara as comidas são taifeiros militares, isso significa custo zero de mão de obra.",fake,train
faketweetbr_train_34,"ALMOÇO NO PLANALTO agora é no bandejão mesmo, quem prepara as comidas são taifeiros militares, isso significa custo zero de mão de obra.",fake,train
faketweetbr_train_35,"Almoço no Planalto agora é no bandejão mesmo. Quem prepara as comidas são taifeiros militares, isso significa CUSTO ZERO de mão de obra.",fake,train
faketweetbr_train_36,No governo Bolsonaro almoço no Planalto é no bandejão mesmo !,fake,train
faketweetbr_train_37,"Salada, churrasco e batata frita: o almoço de Bolsonaro no bandejão do Planalto",true,train
faketweetbr_train_38,Presidente Bolsonaro é flagrado comendo no bandejão do Palcário do Planalto,true,train
faketweetbr_train_39,Bolsonaro almoça no ' bandejão ' do Palácio do Planalto com ministros e assessores,true,train
faketweetbr_train_40,Este esquerdopata que chamou Jesus Cristo de travesti e bicha é atração da #GloboLixo para o criança esperança.,fake,train
faketweetbr_train_41,Enquanto isso o Criança Esperança desse ano terá uma participação especial do mesmo imbecil que chamou Nosso Senhor Jesus Cristo de travesti.,fake,train
faketweetbr_train_42,se é assim então Johnny Hooker dizer que Jesus é travesti ...prova que ele é xenofobico,fake,train
faketweetbr_train_43,Rede Globo vai marcar presença na campanha Criança Esperança.,fake,train
faketweetbr_train_44,Aquela coisa q chamou Jesus de travesti vai ser atração do criança esperança.,fake,train
faketweetbr_train_45,CHAMOU JESUS DE TRAVESTI E SERÁ ATRAÇÃO NO CRIANÇA ESPERANÇA DO GLIBO LIXO!,fake,train
faketweetbr_train_46,"Legal mesmo é chamar Jesus de travesti, bicha",fake,train
faketweetbr_train_47,Isso se não desrespeitar a religião alheia e chamar Jesus de travesti.,fake,train
faketweetbr_train_48,"Após chamar Jesus de travesti , Johnny Hooker canta no Criança Esperança",fake,train
faketweetbr_train_49,A tag Criança Esperança estava em primeiro lugar no Tt mas q o Twitter derrubou a tag.,fake,train
faketweetbr_train_50,A CRIATURA QUE CHAMOU JESUS CRISTO DE TRAVESTI É UMA DAS ATRAÇÕES DO CRIANÇA ESPERANÇA.,fake,train
faketweetbr_train_51,Globo lixo. Colocou Johnny Hooker no criança esperança aquele que chamou Jesus de travesti.,fake,train
faketweetbr_train_52,Não suje seu nome com essa corja que chama Jesus de travesti !!,fake,train
faketweetbr_train_53,o cara fala que Jesus é travesti e gay sim.,fake,train
faketweetbr_train_54,Criança Esperança terá apresentação do transformista que igualou Jesus a travesti,fake,train
faketweetbr_train_55,o idiota q chamou Jesus de bicha de travesti vai participar do Criança Esperança da Globo,fake,train
faketweetbr_train_56,Estão divulgando também que aquele desgraçado Johnny Hooker que chamou Jesus de bicha e travesti vai se apresentar no Criança Esperança,fake,train
faketweetbr_train_57,Cantor que afirmou que Jesus é travesti e “bicha” é denunciado no Ministério Público Federal,fake,train
faketweetbr_train_58,A ABIN lançou nota negando que o desastre de Brumadinho foi um atentado terrorista feito por 1 cubano e 1 venezuelano.,true,train
faketweetbr_train_59,Uma fake news distribuída pela extrema-direita nas redes sociais que atribui a um venezuelano e a a cubano imaginários uma explosão terrorista que teria gerado a tragédia na barragem de Brumadinho.,true,train
faketweetbr_train_60,o rompimento da barragem de Brumadinho pode ter sido um ato terrorista - um cubano e um venezuelano estariam envolvidos,true,train
faketweetbr_train_61,"a tragédia em Brumadinho foi, na verdade, um atentado terrorista causado por um cubano e um venezuelano.",true,train
faketweetbr_train_62,NOTÍCIA DE SALVO CONDUTO DE LULA É FAKE.,true,train
faketweetbr_train_63,"A ministra Cármen Lúcia, do Supremo Tribunal Federal ( STF ), enviou ao advogado José Roberto Batochio o salvo-conduto do ex-presidente Lula. O documento autoriza o petista a viajar e transitar livremente.",fake,train
faketweetbr_train_64,Lula recebe o salvo conduto do STF.,fake,train
faketweetbr_train_65,Salvo Conduto para Lula ?,fake,train
faketweetbr_train_66,STF DA SALVO CONDUTO A LULA QUE DEVERÁ SER SOLTO PRÓXIMAS HORAS.,fake,train
faketweetbr_train_67,Parece que terá salvo conduto para Lula deixar a prisão política que se encontra. Via STF.,fake,train
faketweetbr_train_68,"Hoje 11 homens que não receberam um só voto do povo, vão decidir se enterram o país.",fake,train
faketweetbr_train_69,Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem !,fake,train
faketweetbr_train_70,"Existe uma forte relação entre o MST , o MAB (Movimento dos Atingidos por Barragem) e a Igreja Católica.",true,train
faketweetbr_train_71,"Agora o MST está perseguindo as famílias das vítimas em Brumadinho , parasitas.",fake,train
faketweetbr_train_72,MST invade BRUMADINHO para reivindicar as terras como se de direito das vítimas da tragédia da barragem.,fake,train
faketweetbr_train_73,Vagabundos do MST vem de tudo qusnto é lugar pra pegar as terras em Brumadinho da pra acreditar.,fake,train
faketweetbr_train_74,Deputado repercute notícia falsa sobre o MST ter invadido Brumadinho para tomar terras de atingidos pela barragem,true,train
faketweetbr_train_75,MST invadem Brumadinho para reivindicar as terras com se fossem vítimas do rompimento da barragem.,fake,train
faketweetbr_train_76,Os vagabundos do MST agora resolveram envadi brumadinho,fake,train
faketweetbr_train_77,Quem roubou foi a Vale privatizada.,true,train
faketweetbr_train_78,Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem !,fake,train
faketweetbr_train_79,AVISEM O PRESIDENTE SOBRE A INVASAO DO MST EM BRUMADINHO ....MANDEM AS FFAA PARA LA E TIREM OS VAGABUNDOS A BALA,fake,train
faketweetbr_train_80,Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem.,fake,train
