custom_id,original_label,original_prediction,claim_extraction_gpt-5-nano_prediction,claim_extraction_gpt-5_prediction,claim_normalization_gpt-5-nano_prediction,claim_normalization_gpt-5_prediction,original_text
faketweetbr_test_0,fake,fake,fake,fake,fake,fake,"Esclarecendo para muitos que não entenderam o motivo do comercial do Banco do Brasil ser vetado por Bolsonaro . O problema não era o tema e sim que um vídeo de 17 segundos iria custar r$ 17 milhões, dinheiro público! Acho que não é necessário... https:// mblnews.org/noticia/bolson aro-responde-e-burger-king-sofre-boicote-nas-redes-sociais/ …"
faketweetbr_test_1,fake,fake,fake,fake,fake,fake,"Segundo assessoria do Banco do Brasil , diz O Globo, o comercial vetado por Bolsonaro custou R$ 17 milhões. MILHÕES !!! O filme Tropa de Elite custou R$ 11 milhões. Tem ou não tem de investigar? É ou não é uma... https://www. facebook.com/10000050725541 1/posts/2668710683155814/ …"
faketweetbr_test_2,fake,fake,fake,fake,fake,fake,"O comercial de 30 segundos do Banco do Brasil , vetado pelo presidente Bolsonaro , custou aos cofres da nação R$ 17 milhões."
faketweetbr_test_3,true,fake,fake,fake,fake,fake,"Comercial do Banco do Brasil é vetado por Bolsonaro e diretor é exonerado, diz colunista. http:// bit.ly/2W8x370 pic.twitter.com/UXspdtzfXN"
faketweetbr_test_4,true,fake,fake,fake,fake,fake,"Instituto Nise da Silveira será fechado pelo prefeito do Rio de Janeiro, Marcelo Crivella? Na verdade, NÃO É BEM ASSIM! Entenda lendo este artigo de checagem de fatos: https://www. boatos.org/brasil/institu to-nise-silveira-fechado.html … #SaúdePúblicaÉCoisaSéria pic.twitter.com/si38JGcG1P"
faketweetbr_test_5,fake,fake,fake,fake,fake,fake,"O Prefeito do Rio de Janeiro quer fechar o Instituto Nise da Silveira no dia 30 de abril! Para quem não conhece, é aquele retratado no filme  Nise "". Assinem o abaixo assinado e compartilhem: https://www. change.org/p/prefeitura-d o-rio-de-janeiro-contra-o-fim-das-atividades-do-hospital-municipal-nice-da-silveira …"""
faketweetbr_test_6,fake,fake,fake,fake,fake,fake,"Como assim, o prefeito do Rio quer acabar com o Instituto Nise da Silveira . Um trabalho pioneiro com reconhecimento internacional."
faketweetbr_test_7,true,fake,fake,fake,fake,fake,"Acordei hoje com a notícia que esse maluco do Nando Moura estava caluniando o prefeito da Cidade de Nova York por ele não ter aceito o Bozo lá, entre as mentiras estava que o prefeito estivesse envolvido em esquema de corrupção, estupro entre outros..."
faketweetbr_test_8,fake,fake,fake,fake,fake,fake,"Marcelo Tas que defendeu o prefeito de Nova York (acusado por estupro , corrupção e lavagem de dinheiro) vai dizer o quê?"
faketweetbr_test_9,true,fake,fake,fake,fake,fake,#alertadfndr : criminosos estão usando indevidamente a marca Atacadão para espalhar golpe que promete cestas básicas grátis. Alerte seus amigos! pic.twitter.com/48EcugFXCk
